PPB.L	Paddy Power Betfair plc	8,520.00 15:53	Up 15.00 (0.18%)	69,326
PRU.L	Prudential plc	1,403.50 15:54	Up 2.50 (0.18%)	2,124,984
PSN.L	Persimmon plc	1,690.00 15:54	Down 26.00 (1.52%)	583,390
PSON.L	Pearson plc	754.56 15:53	Down 6.94 (0.91%)	1,904,026
RB.L	Reckitt Benckiser Group plc	7,276.50 15:54	Up 51.50 (0.71%)	606,025
RBS.L	The Royal Bank of Scotland Group plc	189.80 15:54	Up 1.80 (0.96%)	13,239,597
RDSA.L	Royal Dutch Shell plc	2,081.50 15:54	Up 13.50 (0.65%)	3,433,586
RDSB.L	Royal Dutch Shell plc	2,180.00 15:54	Up 16.50 (0.76%)	2,310,093
REL.L	RELX PLC	1,462.00 15:53	Up 21.00 (1.46%)	2,085,915
REX.L	REXAM PLC	645.08 29 Jun 17:08	Up 0.08 (0.01%)	52,808,327
RIO.L	Rio Tinto plc	2,783.50 15:54	Up 108.00 (4.04%)	3,827,456
RMG.L	Royal Mail plc	489.40 15:53	Down 1.40 (0.29%)	1,250,947
RR.L	Rolls Royce Holdings plc	742.00 15:54	Down 4.00 (0.54%)	3,747,851
RRS.L	Randgold Resources Limited	7,120.00 15:54	Up 135.00 (1.93%)	298,644
RSA.L	RSA Insurance Group plc	560.50 15:53	Down 2.00 (0.36%)	1,159,605
SAB.L	SABMiller plc	4,494.50 5 Oct 13:11	0.00 (0.00%)	50,000
SBRY.L	J Sainsbury plc	242.75 15:54	Up 0.15 (0.06%)	4,104,872
SDR.L	Schroders plc	2,858.00 15:54	Up 13.00 (0.46%)	161,010
SGE.L	Sage Group plc	724.50 15:54	Up 3.00 (0.42%)	935,349
SHP.L	Shire plc	4,917.00 15:54	Down 28.50 (0.58%)	1,314,147
SKY.L	Sky plc	805.50 15:54	Down 6.00 (0.74%)	3,189,143
SL.L	Standard Life plc	339.70 15:54	Down 1.70 (0.50%)	1,705,474
SN.L	Smith & Nephew plc	1,212.00 15:53	Down 1.00 (0.08%)	1,853,967
SSE.L	SSE plc	1,581.00 15:54	Up 5.00 (0.32%)	908,707
STAN.L	Standard Chartered PLC	705.50 15:54	Down 6.40 (0.90%)	3,441,174
STJ.L	St. James's Place plc	966.00 15:54	Up 17.00 (1.79%)	1,086,936
SVT.L	Severn Trent Plc	2,324.00 15:53	0.00 (0.00%)	212,202
